iter	Passed	Remaining
0	0	717
1	1	638
2	1	598
3	2	578
4	2	573
5	3	566
6	3	559
7	4	552
8	4	547
9	5	544
10	6	540
11	6	538
12	7	535
13	7	531
14	8	529
15	8	532
16	9	530
17	9	529
18	10	526
19	10	525
20	11	523
21	11	522
22	12	520
23	12	518
24	13	517
25	13	515
26	14	514
27	14	514
28	15	519
29	16	521
30	16	520
31	17	518
32	17	516
33	18	516
34	18	515
35	19	514
36	19	513
37	20	511
38	20	510
39	21	509
40	21	508
41	22	507
42	22	507
43	23	507
44	23	508
45	24	507
46	24	506
47	25	505
48	26	505
49	26	504
50	27	503
51	27	502
52	28	502
53	28	501
54	29	500
55	29	499
56	30	498
57	30	498
58	31	500
59	32	501
60	32	501
61	33	500
62	33	501
63	34	501
64	34	500
65	35	499
66	35	498
67	36	497
68	36	496
69	37	495
70	37	496
71	38	496
72	39	495
73	39	494
74	40	493
75	40	494
76	41	493
77	41	492
78	42	492
79	42	491
80	43	491
81	43	491
82	44	490
83	44	489
84	45	488
85	45	487
86	46	490
87	47	492
88	48	492
89	48	491
90	49	490
91	49	489
92	50	488
93	50	487
94	51	487
95	51	486
96	52	485
97	52	485
98	53	484
99	53	483
100	54	482
101	54	481
102	55	480
103	55	480
104	56	479
105	56	479
106	57	478
107	57	477
108	58	476
109	58	475
110	59	474
111	59	474
112	60	474
113	60	473
114	61	473
115	62	475
116	62	475
117	63	474
118	63	473
119	64	472
120	64	472
121	65	471
122	66	471
123	66	470
124	67	469
125	67	469
126	68	469
127	68	468
128	69	467
129	69	467
130	70	466
131	70	466
132	71	465
133	71	464
134	72	464
135	72	463
136	73	462
137	73	461
138	74	461
139	74	460
140	75	460
141	76	460
142	76	459
143	77	458
144	78	461
145	78	460
146	79	460
147	79	459
148	80	458
149	80	458
150	81	458
151	82	457
152	82	457
153	83	456
154	83	456
155	84	455
156	84	455
157	85	454
158	85	454
159	86	453
160	86	452
161	87	451
162	87	451
163	88	450
164	88	449
165	89	449
166	89	448
167	90	447
168	91	447
169	91	446
170	92	446
171	92	445
172	93	444
173	93	445
174	94	445
175	94	444
176	95	443
177	96	443
178	96	443
179	97	442
180	97	441
181	98	441
182	98	440
183	99	439
184	99	439
185	100	438
186	100	437
187	101	436
188	101	436
189	102	435
190	102	434
191	103	434
192	103	433
193	104	433
194	104	432
195	105	432
196	105	431
197	106	430
198	106	430
199	107	429
200	107	428
201	108	428
202	108	427
203	109	428
204	110	428
205	111	428
206	111	427
207	112	426
208	112	426
209	113	425
210	113	425
211	114	424
212	114	423
213	115	423
214	115	422
215	116	422
216	116	421
217	117	420
218	117	420
219	118	419
220	118	419
221	119	418
222	119	417
223	120	417
224	121	416
225	121	416
226	122	415
227	122	415
228	123	414
229	123	413
230	124	413
231	124	412
232	125	413
233	126	412
234	126	412
235	127	411
236	127	411
237	128	410
238	128	410
239	129	409
240	129	409
241	130	408
242	130	407
243	131	407
244	131	406
245	132	405
